route_id,route2,type2,veh_size,carrier,routetype,feature,lim_up,lim_down,buslane,capacity,lot
3608,302,bus,СК,"АО ""Третий парк""",пригород,,,минимум,,40,1
3609,303,bus,СК,"АО ""Третий парк""",ГП,Сестрорецк,,минимум,,40,1
3626,304,bus,СК,"АО ""Третий парк""",пригород,,,минимум,,40,1
1833,305,bus,БК,"АО ""Третий парк""",пригород,,частник,,,60,1
1821,306,bus,СК,"АО ""Третий парк""",пригород,,,минимум,,40,1
1828,307,bus,СК,"АО ""Третий парк""",пригород,,,минимум,,40,1
1829,309,bus,СК,"АО ""Третий парк""",пригород,,,минимум,,40,1
1823,310,bus,СК,"АО ""Третий парк""",пригород,,,минимум,,40,1
1824,311,bus,СК,"АО ""Третий парк""",пригород,,,минимум,,40,1
1830,312,bus,СК,"АО ""Третий парк""",пригород,,,минимум,,40,1
1832,315,bus,БК,"АО ""Третий парк""",пригород,,частник,,,60,1
1813,318,bus,МК,"АО ""Третий парк""",пригород,,,минимум,,20,1
1814,319,bus,МК,"АО ""Третий парк""",пригород,,,минимум,,20,1
5221,320,bus,МК,"АО ""Третий парк""",пригород,,,минимум,,20,1
1842,321,bus,СК,"АО ""Третий парк""",пригород,,,минимум,,40,1
1843,322,bus,СК,"АО ""Третий парк""",пригород,,,минимум,,40,1
7519,324,bus,БК,"ООО ""Вест-Сервис""",ГП,Колпино,частник,,,60,8
1701,325,bus,БК,"ООО ""Вест-Сервис""",пригород,,частник,,,60,8
1291,326,bus,БК,ПАТ,ГП,Колпино,КАП,,,60,pat
1360,327,bus,БК,ПАТ,ГП,Колпино,КАП,,,60,pat
4056,328,bus,БК,ПАТ,ГП,Колпино,КАП,,,60,pat
5322,329,bus,СК,"ООО ""Вест-Сервис""",ГП,Петергоф,,минимум,,40,6
